mass,ta,tb,ewl,rmr
12,0,46.57,0.47,11.71
12.1,0,46.59,0.47,11.61
12.2,0,46.62,0.47,11.52
12.3,0,46.64,0.47,11.44
12.4,0,46.67,0.47,11.37
12.5,0,46.69,0.47,11.31
12.6,0,46.71,0.47,11.25
12.7,0,46.74,0.47,11.19
12.8,0,46.76,0.47,11.14
12.9,0,46.79,0.47,11.09
13,0,46.81,0.46,11.04
13.1,0,46.84,0.46,10.99
13.2,0,46.86,0.46,10.94
13.3,0,46.89,0.46,10.88
13.4,0,46.91,0.46,10.83
13.5,0,46.93,0.46,10.77
13.6,0,46.96,0.46,10.7
13.7,0,46.98,0.46,10.63
13.8,0,47.01,0.46,10.55
13.9,0,47.03,0.46,10.46
14,0,47.06,0.46,10.36
14.1,0,47.08,0.46,10.26
14.2,0,47.11,0.46,10.14
14.3,0,47.13,0.46,10.01
14.4,0,47.16,0.46,9.86
14.5,0,47.18,0.46,9.7
12,0.1,46.53,0.47,11.62
12.1,0.1,46.55,0.47,11.52
12.2,0.1,46.58,0.47,11.43
12.3,0.1,46.6,0.47,11.36
12.4,0.1,46.63,0.47,11.28
12.5,0.1,46.65,0.47,11.22
12.6,0.1,46.68,0.47,11.16
12.7,0.1,46.7,0.46,11.1
12.8,0.1,46.72,0.46,11.05
12.9,0.1,46.75,0.46,11
13,0.1,46.77,0.46,10.95
13.1,0.1,46.8,0.46,10.9
13.2,0.1,46.82,0.46,10.85
13.3,0.1,46.85,0.46,10.8
13.4,0.1,46.87,0.46,10.74
13.5,0.1,46.9,0.46,10.68
13.6,0.1,46.92,0.46,10.62
13.7,0.1,46.95,0.46,10.55
13.8,0.1,46.97,0.46,10.47
13.9,0.1,47,0.46,10.38
14,0.1,47.02,0.46,10.28
14.1,0.1,47.04,0.46,10.18
14.2,0.1,47.07,0.45,10.06
14.3,0.1,47.09,0.45,9.93
14.4,0.1,47.12,0.45,9.78
14.5,0.1,47.14,0.45,9.62
12,0.2,46.49,0.47,11.53
12.1,0.2,46.52,0.47,11.43
12.2,0.2,46.54,0.47,11.35
12.3,0.2,46.56,0.47,11.27
12.4,0.2,46.59,0.46,11.2
12.5,0.2,46.61,0.46,11.13
12.6,0.2,46.64,0.46,11.07
12.7,0.2,46.66,0.46,11.02
12.8,0.2,46.69,0.46,10.96
12.9,0.2,46.71,0.46,10.91
13,0.2,46.74,0.46,10.87
13.1,0.2,46.76,0.46,10.82
13.2,0.2,46.78,0.46,10.77
13.3,0.2,46.81,0.46,10.71
13.4,0.2,46.83,0.46,10.66
13.5,0.2,46.86,0.46,10.6
13.6,0.2,46.88,0.46,10.53
13.7,0.2,46.91,0.46,10.46
13.8,0.2,46.93,0.45,10.38
